airport	runway	bbox
RJTT	22	{lat:35.567621606493205,lng:139.77684187573558},{lat:35.56731239289528,lng:139.7773861232143},{lat:35.558088669523016,lng:139.76946719597169},{lat:35.55839784753376,lng:139.76892298057894}
RJTT	05	{lat:35.523820793985635,lng:139.803708820831},{lat:35.52418520551966,lng:139.80321917805733},{lat:35.53248258324482,lng:139.8125432095681},{lat:35.532118134027314,lng:139.81303286062686}
RJTT	23	{lat:35.54077924320917,lng:139.82186916977886},{lat:35.540414756295995,lng:139.82235882910857},{lat:35.532118134027314,lng:139.81303286062686},{lat:35.53248258324482,lng:139.8125432095681}
RJTT	16L	{lat:35.56271794709955,lng:139.78841859471692},{lat:35.56298805221837,lng:139.7889934062518},{lat:35.55281475039472,lng:139.79621629841307},{lat:35.55254467955566,lng:139.79564153549236}
RJTT	34R	{lat:35.5426410179467,lng:139.80343735764308},{lat:35.542370981371626,lng:139.80286264332446},{lat:35.55254467955566,lng:139.79564153549236},{lat:35.55281475039472,lng:139.79621629841307}
RJTT	16R	{lat:35.55610689282347,lng:139.7714316569705},{lat:35.55637710649479,lng:139.77200634399813},{lat:35.546556290771,lng:139.77898217481487},{lat:35.54628611019721,lng:139.77840753467046}
RJTT	34L	{lat:35.53673507340479,lng:139.78595629712},{lat:35.53646492591386,lng:139.7853817038476},{lat:35.54628611019721,lng:139.77840753467046},{lat:35.546556290771,lng:139.77898217481487}
RKPK	18L	{lat:35.19403431212631,lng:128.93717314641546},{lat:35.19407768735226,lng:128.937676853719},{lat:35.181785694389575,lng:128.93926155568045},{lat:35.18174232572452,lng:128.93875792372137}
RKPK	36R	{lat:35.169493680793586,lng:128.940845778397},{lat:35.16945031868546,lng:128.94034222173724},{lat:35.18174232572452,lng:128.93875792372137},{lat:35.181785694389575,lng:128.93926155568045}
RKPK	18R	{lat:35.18846565468128,lng:128.93549345183573},{lat:35.18852234443144,lng:128.9361505483935},{lat:35.17687134967007,lng:128.93765521745277},{lat:35.17681466804605,lng:128.9369982140364}
RKPK	36L	{lat:35.16522033630801,lng:128.9391594552784},{lat:35.16516366280546,lng:128.93850254495052},{lat:35.17681466804605,lng:128.9369982140364},{lat:35.17687134967007,lng:128.93765521745277}
RKSI	15L	{lat:37.483788258225125,lng:126.43987805421953},{lat:37.484099741123764,lng:126.44043394693928},{lat:37.470318845516545,lng:126.45269418121987},{lat:37.47000742005182,lng:126.4521383399086}
RKSI	33R	{lat:37.45653668370702,lng:126.46494989552858},{lat:37.45622531564229,lng:126.46439410562834},{lat:37.47000742005182,lng:126.4521383399086},{lat:37.470318845516545,lng:126.45269418121987}
RKSI	15R	{lat:37.48163325476049,lng:126.43606106531912},{lat:37.481944744588475,lng:126.43661693583955},{lat:37.468163349020635,lng:126.44887767012204},{lat:37.46785191662545,lng:126.44832185100248}
RKSI	33L	{lat:37.45438068717284,lng:126.46113388443649},{lat:37.454069312176536,lng:126.46057811672037},{lat:37.46785191662545,lng:126.44832185100248},{lat:37.468163349020635,lng:126.44887767012204}
RKSI	16	{lat:37.47265219421924,lng:126.41529415260186},{lat:37.47296380513019,lng:126.4158498485565},{lat:37.45826749507121,lng:126.42893039141886},{lat:37.45795594540842,lng:126.4283747501789}
RKSI	34	{lat:37.44356974390153,lng:126.44200579383936},{lat:37.44325825544834,lng:126.44145020731712},{lat:37.45795594540842,lng:126.4283747501789},{lat:37.45826749507121,lng:126.42893039141886}
RPLL	06	{lat:14.49833284003207,lng:121.00156984608994},{lat:14.498801159886376,lng:121.00129215361656},{lat:14.506434567236942,lng:121.01502768989052},{lat:14.505966231243583,lng:121.01530536289252}
RPLL	24	{lat:14.51406717602927,lng:121.02876417309545},{lat:14.513598823889122,lng:121.02904182661074},{lat:14.505966231243583,lng:121.01530536289252},{lat:14.506434567236942,lng:121.01502768989052}
RPLL	13	{lat:14.522542537589885,lng:121.00489086487849},{lat:14.522829462317144,lng:121.00518713531363},{lat:14.51674354212469,lng:121.01147630828558},{lat:14.516456625290347,lng:121.01118003784404}
RPLL	31	{lat:14.510657454425996,lng:121.01776513531952},{lat:14.51037054548111,lng:121.01746886487246},{lat:14.516456625290347,lng:121.01118003784404},{lat:14.51674354212469,lng:121.01147630828558}
UUDD	14	{lat:55.42448052346956,lng:37.911440347559534},{lat:55.42478547527308,lng:37.91222565547269},{lat:55.41068809743641,lng:37.929216641719925},{lat:55.41038325444966,lng:37.92843148290029}
UUDD	32	{lat:55.396588366495514,lng:37.94619550634825},{lat:55.39628363224762,lng:37.945410496677454},{lat:55.41038325444966,lng:37.92843148290029},{lat:55.41068809743641,lng:37.929216641719925}
UUDD	14L	{lat:55.41681556905827,lng:37.914996964129486},{lat:55.417084429959466,lng:37.915691038232616},{lat:55.40829735487203,lng:37.92625334543945},{lat:55.408028553763266,lng:37.925559353827936}
UUDD	32R	{lat:55.39950937018052,lng:37.93681095573018},{lat:55.399240628837454,lng:37.936117046628766},{lat:55.408028553763266,lng:37.925559353827936},{lat:55.40829735487203,lng:37.92625334543945}
UUDD	14R	{lat:55.42090869011063,lng:37.87174618231464},{lat:55.42121330863089,lng:37.872531820715125},{lat:55.408242251493185,lng:37.888139374064494},{lat:55.40793773297647,lng:37.88735387327059}
UUDD	32L	{lat:55.39526920866054,lng:37.90373668308253},{lat:55.39496479008143,lng:37.902951319941266},{lat:55.40793773297647,lng:37.88735387327059},{lat:55.408242251493185,lng:37.888139374064494}
VAAH	05	{lat:23.06581581134782,lng:72.6225632352787},{lat:23.06610018849663,lng:72.62224876438897},{lat:23.077355155509334,lng:72.63427375747207},{lat:23.077070754565142,lng:72.63458822925082}
VAAH	23	{lat:23.088609212298472,lng:72.64630076350372},{lat:23.088324787545858,lng:72.64661523616354},{lat:23.077070754565142,lng:72.63458822925082},{lat:23.077355155509334,lng:72.63427375747207}
VABB	09	{lat:19.088186028303536,lng:72.84925124696237},{lat:19.088725971696366,lng:72.8492427530238},{lat:19.08891395738932,lng:72.8626582597014},{lat:19.088374013383433,lng:72.86266670989937}
VABB	27	{lat:19.08910097230784,lng:72.87607379676483},{lat:19.088561027692062,lng:72.87608220322149},{lat:19.088374013383433,lng:72.86266670989937},{lat:19.08891395738932,lng:72.8626582597014}
VABB	14	{lat:19.095865745602772,lng:72.8597691684999},{lat:19.096156254276096,lng:72.86006883176313},{lat:19.089010410286022,lng:72.86782616690532},{lat:19.088719914153454,lng:72.8675265029644}
VABB	32	{lat:19.081864241737897,lng:72.87558283243936},{lat:19.081573758141047,lng:72.87528316782343},{lat:19.088719914153454,lng:72.8675265029644},{lat:19.089010410286022,lng:72.86782616690532}
VCBI	04	{lat:7.169066237725979,lng:79.87474874999779},{lat:7.169311762216778,lng:79.87442324991447},{lat:7.1813393573994135,lng:79.88363950433137},{lat:7.181093826420075,lng:79.88396500804478}
VCBI	22	{lat:7.193366768710753,lng:79.89285624628135},{lat:7.193121231231815,lng:79.8931817536306},{lat:7.181093826420075,lng:79.88396500804478},{lat:7.1813393573994135,lng:79.88363950433137}
VDPP	05	{lat:11.536927167160167,lng:104.83442294631261},{lat:11.537216832767974,lng:104.83413305353777},{lat:11.546202987144435,lng:104.84348675402349},{lat:11.545913312259204,lng:104.84377664642597}
VDPP	23	{lat:11.55518884204905,lng:104.85284105391078},{lat:11.554899157878985,lng:104.85313094593937},{lat:11.545913312259204,lng:104.84377664642597},{lat:11.546202987144435,lng:104.84348675402349}
VEBN	09	{lat:25.452472458033277,lng:82.85059574964104},{lat:25.452877541965705,lng:82.8506202504002},{lat:25.45226156839524,lng:82.86310083525113},{lat:25.45185648653557,lng:82.86307629262014}
VEBN	27	{lat:25.451644539891195,lng:82.875581292271},{lat:25.451239460107768,lng:82.87555670777034},{lat:25.45185648653557,lng:82.86307629262014},{lat:25.45226156839524,lng:82.86310083525113}
VECC	01L	{lat:22.6402422022917,lng:88.44422650736594},{lat:22.64028579741223,lng:88.44378949256469},{lat:22.65260530582619,lng:88.44523234370493},{lat:22.652561706794696,lng:88.44566939725311}
VECC	19R	{lat:22.66492480132437,lng:88.44667545380432},{lat:22.664881198379206,lng:88.44711254612625},{lat:22.652561706794696,lng:88.44566939725311},{lat:22.65260530582619,lng:88.44523234370493}
VECC	01R	{lat:22.642186212898107,lng:88.44654051170014},{lat:22.642229786805796,lng:88.44610348823055},{lat:22.656621797897092,lng:88.44778828892032},{lat:22.656578219422023,lng:88.44822535766363}
VECC	19L	{lat:22.671013791374815,lng:88.44947344293853},{lat:22.67097020832866,lng:88.44991055699207},{lat:22.656578219422023,lng:88.44822535766363},{lat:22.656621797897092,lng:88.44778828892032}
VEGY	10	{lat:24.74639694152002,lng:84.93954703687943},{lat:24.746791058461366,lng:84.93965296328847},{lat:24.74443742855614,lng:84.95026868012295},{lat:24.74404331907673,lng:84.95016272206377}
VEGY	28	{lat:24.742083050998705,lng:84.96088399493536},{lat:24.741688948982656,lng:84.9607780052326},{lat:24.74404331907673,lng:84.95016272206377},{lat:24.74443742855614,lng:84.95026868012295}
VGHS	14	{lat:23.854911797843027,lng:90.38832654637947},{lat:23.855150201949073,lng:90.38868545395073},{lat:23.843468468773068,lng:90.39796128207973},{lat:23.843230086154122,lng:90.39760238979547}
VGHS	32	{lat:23.831786180468455,lng:90.40723543866537},{lat:23.83154781932385,lng:90.40687656166436},{lat:23.843230086154122,lng:90.39760238979547},{lat:23.843468468773068,lng:90.39796128207973}
VHHH	07L	{lat:22.310662030830876,lng:113.89806002281874},{lat:22.311171969112607,lng:113.8978679768306},{lat:22.316275247185047,lng:113.91370342338273},{lat:22.315765290262565,lng:113.91389541854784}
VHHH	25R	{lat:22.32137698775327,lng:113.92954002766521},{lat:22.32086701219024,lng:113.92973197198411},{lat:22.315765290262565,lng:113.91389541854784},{lat:22.316275247185047,lng:113.91370342338273}
VHHH	07R	{lat:22.29642003275886,lng:113.89953801900889},{lat:22.296929967184656,lng:113.89934598064067},{lat:22.30230883032812,lng:113.91603386488875},{lat:22.30179887626884,lng:113.91622584973689}
VHHH	25L	{lat:22.307685986818047,lng:113.93272303417362},{lat:22.307176013125506,lng:113.9329149654759},{lat:22.30179887626884,lng:113.91622584973689},{lat:22.30230883032812,lng:113.91603386488875}
VIDP	09	{lat:28.570347224202102,lng:77.08812702042262},{lat:28.570752775797644,lng:77.08813897960043},{lat:28.570442454512577,lng:77.10175304605976},{lat:28.570036904113135,lng:77.10174103444311}
VIDP	27	{lat:28.57013077459893,lng:77.11536703203863},{lat:28.569725225400813,lng:77.1153549679846},{lat:28.570036904113135,lng:77.10174103444311},{lat:28.570442454512577,lng:77.10175304605976}
VIDP	10	{lat:28.567034798734884,lng:77.08481337867558},{lat:28.56742720123992,lng:77.08493062154304},{lat:28.563080995458897,lng:77.10378293295469},{lat:28.562688609158876,lng:77.10366562463881}
VIDP	28	{lat:28.55873218503183,lng:77.12263368697843},{lat:28.558339814942922,lng:77.1225163132403},{lat:28.562688609158876,lng:77.10366562463881},{lat:28.563080995458897,lng:77.10378293295469}
VIDP	11	{lat:28.545531690796963,lng:77.07183015479046},{lat:28.546056309164157,lng:77.07197584557238},{lat:28.543581791187243,lng:77.08352064386405},{lat:28.5430571851447,lng:77.08337489900514}
VIDP	29	{lat:28.541106296837828,lng:77.09506489964336},{lat:28.540581703123237,lng:77.09491910071966},{lat:28.5430571851447,lng:77.08337489900514},{lat:28.543581791187243,lng:77.08352064386406}
VLLB	05	{lat:19.898785817091206,lng:102.16038841139458},{lat:19.899092182797087,lng:102.16010558833173},{lat:19.90643391599551,lng:102.16910117306887},{lat:19.906127536076486,lng:102.16938399183734}
VLLB	23	{lat:19.91377519701294,lng:102.17809759262859},{lat:19.9134688028753,lng:102.17838040709752},{lat:19.906127536076486,lng:102.16938399183734},{lat:19.90643391599551,lng:102.16910117306887}
VLVT	13	{lat:17.997799606759788,lng:102.55313410368738},{lat:17.998084393121875,lng:102.55343789655791},{lat:17.98846064027199,lng:102.56341094021192},{lat:17.988175869445495,lng:102.5631071478148}
VLVT	31	{lat:17.9788363775908,lng:102.57338289608273},{lat:17.97855162229098,lng:102.57307910416223},{lat:17.988175869445495,lng:102.5631071478148},{lat:17.98846064027199,lng:102.56341094021192}
VNKT	02	{lat:27.683800683228135,lng:85.35360578733889},{lat:27.683955316434414,lng:85.35317221235418},{lat:27.696191436378946,lng:85.3587380679813},{lat:27.6960367858413,lng:85.35917168367729}
VNKT	20	{lat:27.70842733377092,lng:85.36430517163159},{lat:27.708272665891297,lng:85.364738828061},{lat:27.6960367858413,lng:85.35917168367729},{lat:27.696191436378946,lng:85.3587380679813}
VOBL	09L	{lat:13.206961163980154,lng:77.68607017669189},{lat:13.207366836019833,lng:77.68607382331112},{lat:13.207208996517059,lng:77.70452235061367},{lat:13.206803324739644,lng:77.70451867334283}
VOBL	27R	{lat:13.207049835756473,lng:77.72297085396254},{lat:13.206644164243516,lng:77.72296714604056},{lat:13.206803324739644,lng:77.70451867334283},{lat:13.207208996517059,lng:77.70452235061367}
VOBL	09R	{lat:13.1895331642282,lng:77.6899761479391},{lat:13.189938835771787,lng:77.68997985206396},{lat:13.189778495457764,lng:77.70842837951776},{lat:13.18937282418023,lng:77.70842464478335}
VOBL	27L	{lat:13.189616835504639,lng:77.72687688267332},{lat:13.189211164495347,lng:77.72687311732983},{lat:13.18937282418023,lng:77.70842464478335},{lat:13.189778495457764,lng:77.70842837951776}
VOHS	09L	{lat:17.230450177558932,lng:78.41523408093383},{lat:17.230855822441022,lng:78.41522791905942},{lat:17.231096572588914,lng:78.43265541554811},{lat:17.230690927178202,lng:78.43266153916423}
VOHS	27R	{lat:17.231335822968003,lng:78.45008295731816},{lat:17.23093017703195,lng:78.45008904267515},{lat:17.230690927178202,lng:78.43266153916423},{lat:17.231096572588914,lng:78.43265541554811}
VOHS	09R	{lat:17.228313027095858,lng:78.41282911605094},{lat:17.228852972904058,lng:78.41282088393702},{lat:17.229130462986934,lng:78.43284288322332},{lat:17.228590516367817,lng:78.43285105683849}
VOHS	27L	{lat:17.229405973712094,lng:78.45286494243659},{lat:17.228866026287825,lng:78.45287305755157},{lat:17.228590516367817,lng:78.43285105683849},{lat:17.229130462986934,lng:78.43284288322332}
VOMM	07	{lat:12.983941725128657,lng:80.15299985649227},{lat:12.984320274849932,lng:80.15285014339369},{lat:12.99023875425692,lng:80.16861227804394},{lat:12.989860195517178,lng:80.16876197069091}
VOMM	25	{lat:12.996156283869905,lng:80.18437516385147},{lat:12.995777716108673,lng:80.1845248360344},{lat:12.989860195517178,lng:80.16876197069091},{lat:12.99023875425692,lng:80.16861227804394}
VOMM	12	{lat:13.0034735895794,lng:80.16238886499183},{lat:13.003832410384494,lng:80.16258313514867},{lat:12.999406049005897,lng:80.17119429321968},{lat:12.99904723460127,lng:80.17100001407661}
VOMM	30	{lat:12.994979403985015,lng:80.17980514413274},{lat:12.994620595978896,lng:80.17961085600766},{lat:12.99904723460127,lng:80.17100001407661},{lat:12.999406049005897,lng:80.17119429321968}
VTBD	03L	{lat:13.896881919080318,lng:100.59618329829482},{lat:13.897140080676822,lng:100.59569470143286},{lat:13.911811226718212,lng:100.60392166872082},{lat:13.911553048756588,lng:100.60441028737822}
VTBD	03R	{lat:13.899472013188308,lng:100.60171152887943},{lat:13.899665986674604,lng:100.60134447096681},{lat:13.912160591933727,lng:100.60835208545298},{lat:13.911966607974357,lng:100.6087191573099}
VTBD	21L	{lat:13.924654997152649,lng:100.61536045701608},{lat:13.924461002710014,lng:100.61572754282984},{lat:13.911966607974357,lng:100.6087191573099},{lat:13.912160591933727,lng:100.60835208545298}
VTBD	21R	{lat:13.926482097051034,lng:100.61214967962559},{lat:13.926223902705596,lng:100.61263832010141},{lat:13.911553048756588,lng:100.60441028737822},{lat:13.911811226718212,lng:100.60392166872082}
VTBS	01L	{lat:13.67121119416621,lng:100.73493323418278},{lat:13.67134480554324,lng:100.73439476566448},{lat:13.687540346497743,lng:100.73865145529366},{lat:13.687406725928119,lng:100.73918995844295}
VTBS	01R	{lat:13.656630206304662,lng:100.75210022071612},{lat:13.656763793405105,lng:100.75156177913136},{lat:13.674272340801608,lng:100.75616241836217},{lat:13.674138743775593,lng:100.75670089734511}
VTBS	19L	{lat:13.691780803337247,lng:100.76076374170705},{lat:13.691647196371758,lng:100.76130225814},{lat:13.674138743775593,lng:100.75670089734511},{lat:13.674272340801608,lng:100.75616241836217}
VTBS	19R	{lat:13.703735814741433,lng:100.74290873101111},{lat:13.703602184967313,lng:100.74344726883571},{lat:13.687406725928119,lng:100.73918995844295},{lat:13.687540346497743,lng:100.73865145529366}
VTBU	18	{lat:12.695649681055517,lng:101.00601812559492},{lat:12.695606318659692,lng:101.00656987435804},{lat:12.679795323191875,lng:101.00526427627636},{lat:12.67983868289382,lng:101.00471256156808}
VTBU	36	{lat:12.663984321352123,lng:101.00395884032618},{lat:12.664027678363825,lng:101.0034071596269},{lat:12.679838682893822,lng:101.00471256156808},{lat:12.679795323191872,lng:101.00526427627634}
VTCC	18	{lat:18.78105847293505,lng:98.96270474913759},{lat:18.78105752682074,lng:98.96313325086118},{lat:18.76704952686332,lng:98.96309873019044},{lat:18.767050472899008,lng:98.96267026407632}
VTCC	36	{lat:18.753041526899526,lng:98.96306421526747},{lat:18.75304247285666,lng:98.9626357847313},{lat:18.767050472899008,lng:98.96267026407632},{lat:18.76704952686332,lng:98.96309873019044}
VTSC	02	{lat:6.507416740791035,lng:101.7382014982908},{lat:6.507577259139873,lng:101.7378265016493},{lat:6.517945280692156,lng:101.74232240554247},{lat:6.517784759027311,lng:101.74269740849279}
VTSC	20	{lat:6.528313262458462,lng:101.74681849533532},{lat:6.528152737472227,lng:101.74719350460457},{lat:6.517784759027311,lng:101.74269740849279},{lat:6.517945280692156,lng:101.74232240554247}
VTSG	14	{lat:8.106338790814755,lng:98.9799602257052},{lat:8.106595209123821,lng:98.980277774396},{lat:8.096103296684786,lng:98.98892149816251},{lat:8.095846885059327,lng:98.98860395224249}
VTSG	32	{lat:8.08561120244471,lng:98.99756477162664},{lat:8.085354797494023,lng:98.99724722847428},{lat:8.095846885059327,lng:98.98860395224249},{lat:8.096103296684786,lng:98.98892149816251}
VTSP	09	{lat:8.111756066935266,lng:98.3033253940274},{lat:8.11215993306382,lng:98.3032866059531},{lat:8.113435157564343,lng:98.31683656971413},{lat:8.113031290154476,lng:98.31687534429682}
VTSP	27	{lat:8.114709934345012,lng:98.3303866194459},{lat:8.114306065654075,lng:98.33042538053459},{lat:8.113031290154476,lng:98.31687534429683},{lat:8.113435157564343,lng:98.31683656971414}
VTSS	08	{lat:6.930784762106126,lng:100.38053666127126},{lat:6.931187237892497,lng:100.3804853387068},{lat:6.932905434165856,lng:100.39416029459466},{lat:6.932502956912104,lng:100.39421160566746}
VTSS	26	{lat:6.934623239359898,lng:100.4078353502},{lat:6.934220760638725,lng:100.40788664977808},{lat:6.932502956912104,lng:100.39421160566746},{lat:6.932905434165856,lng:100.39416029459466}
VVNB	11L	{lat:21.22507824969213,lng:105.79251357633198},{lat:21.225465750283416,lng:105.79264242383724},{lat:21.221208383756387,lng:105.80737486644104},{lat:21.220820894346478,lng:105.80724598396156}
VVNB	11R	{lat:21.224500240567707,lng:105.78628560817312},{lat:21.224887759407874,lng:105.786414391996},{lat:21.219836153365872,lng:105.80390401155721},{lat:21.21944864779296,lng:105.80377518621044}
VVNB	29L	{lat:21.214782746140205,lng:105.82139243351061},{lat:21.214395253835352,lng:105.82126356665853},{lat:21.219448647792966,lng:105.80377518621046},{lat:21.21983615336588,lng:105.80390401155724}
VVNB	29R	{lat:21.21694973910175,lng:105.82210645880487},{lat:21.216562260873786,lng:105.82197754136433},{lat:21.220820894346467,lng:105.80724598396156},{lat:21.22120838375638,lng:105.80737486644104}
VVTS	07L	{lat:10.81482210481441,lng:106.63718109971234},{lat:10.81520589516745,lng:106.63703090019156},{lat:10.82013117215905,lng:106.6500761929915},{lat:10.819747375502065,lng:106.65022637828238}
VVTS	07R	{lat:10.813660655014205,lng:106.64346807583779},{lat:10.814039344968146,lng:106.6433199240687},{lat:10.818971622860404,lng:106.65638821612711},{lat:10.81859292667814,lng:106.65653635383048}
VVTS	25L	{lat:10.823903351197623,lng:106.66945693813832},{lat:10.823524648784721,lng:106.6696050617681},{lat:10.81859292667814,lng:106.65653635383048},{lat:10.818971622860404,lng:106.65638821612711}
VVTS	25R	{lat:10.825055901472556,lng:106.66312191442543},{lat:10.82467209850929,lng:106.66327208547841},{lat:10.819747375502065,lng:106.6502263782824},{lat:10.82013117215905,lng:106.65007619299153}
VYYY	03	{lat:16.897791619900712,lng:96.12712543817568},{lat:16.89808637982793,lng:96.12665256145482},{lat:16.910985077282966,lng:96.13543545096972},{lat:16.910690297188495,lng:96.1359083463118}
VYYY	21	{lat:16.92388340000354,lng:96.14421954282697},{lat:16.9235885997247,lng:96.14469245680286},{lat:16.910690297188484,lng:96.1359083463118},{lat:16.910985077282955,lng:96.13543545096972}
WAAA	03	{lat:-5.092387012511015,lng:119.54420760064653},{lat:-5.092184987440859,lng:119.54385439940899},{lat:-5.080057526967828,lng:119.55084603319578},{lat:-5.080259548232024,lng:119.55119922997349}
WAAA	21	{lat:-5.067929991242348,lng:119.55783740386336},{lat:-5.068132008709757,lng:119.55819059619189},{lat:-5.080259548232024,lng:119.55119922997349},{lat:-5.080057526967828,lng:119.55084603319578}
WAAA	13	{lat:-5.054442752865516,lng:119.54534517456518},{lat:-5.054135247107461,lng:119.54561082537175},{lat:-5.061476801624802,lng:119.55417572763868},{lat:-5.0617843108702765,lng:119.55391007788789}
WAAA	31	{lat:-5.068818243617465,lng:119.56274082431499},{lat:-5.069125756355433,lng:119.56247517562177},{lat:-5.0617843108702765,lng:119.55391007788789},{lat:-5.061476801624802,lng:119.55417572763868}
WADD	09	{lat:-8.749146686304922,lng:115.15383008555762},{lat:-8.7487413136949,lng:115.15381391445122},{lat:-8.74821005756965,lng:115.1674404264966},{lat:-8.748615429601246,lng:115.16745661241632}
WADD	27	{lat:-8.747678314273577,lng:115.18106689963837},{lat:-8.748083685726249,lng:115.18108310037044},{lat:-8.748615429601246,lng:115.16745661241632},{lat:-8.74821005756965,lng:115.1674404264966}
WARR	10	{lat:-7.37786918086753,lng:112.7734589664479},{lat:-7.377468819130048,lng:112.77352503352222},{lat:-7.379641517407701,lng:112.78691346187547},{lat:-7.3800418811112625,lng:112.78684740659197}
WARR	28	{lat:-7.38181381716385,lng:112.80030202172951},{lat:-7.382214182833726,lng:112.80023597824062},{lat:-7.3800418811112625,lng:112.78684740659197},{lat:-7.379641517407701,lng:112.78691346187547}
WIII	06	{lat:-6.114136584683145,lng:106.64469311439804},{lat:-6.11363541529796,lng:106.6444908856967},{lat:-6.1086135639574834,lng:106.65707849883253},{lat:-6.109114728639488,lng:106.65728073742487}
WIII	07L	{lat:-6.121267614056631,lng:106.63892604208526},{lat:-6.120766385924478,lng:106.63872395800955},{lat:-6.114740100004489,lng:106.65384212241902},{lat:-6.115241322485941,lng:106.65404421839237}
WIII	07R	{lat:-6.142808601726431,lng:106.64376207709648},{lat:-6.142307398254598,lng:106.64355992299868},{lat:-6.136180120147521,lng:106.65892659361438},{lat:-6.136681317853901,lng:106.65912875984594}
WIII	24	{lat:-6.10359141999932,lng:106.66966587580998},{lat:-6.10409257998181,lng:106.66986812428458},{lat:-6.109114728639488,lng:106.65728073742487},{lat:-6.1086135639574834,lng:106.65707849883253}
WIII	25L	{lat:-6.1300524040173405,lng:106.67429291087136},{lat:-6.13055359596372,lng:106.67449508922361},{lat:-6.136681317853902,lng:106.65912875984594},{lat:-6.136180120147522,lng:106.65892659361438}
WIII	25R	{lat:-6.108713391572558,lng:106.66895994611812},{lat:-6.109214608408584,lng:106.66916205397652},{lat:-6.115241322485941,lng:106.65404421839237},{lat:-6.114740100004489,lng:106.65384212241902}
WMKK	14L	{lat:2.778335772641005,lng:101.70162538675729},{lat:2.7786362273163605,lng:101.70207461329987},{lat:2.763559768331261,lng:101.71218174009063},{lat:2.763259317482368,lng:101.71173251670398}
WMKK	14R	{lat:2.743121754328122,lng:101.69773940569189},{lat:2.7434222456297905,lng:101.69818859436455},{lat:2.72843078567118,lng:101.70824021814386},{lat:2.7281302981264894,lng:101.70779103256831}
WMKK	15	{lat:2.7380637482048225,lng:101.67726741074678},{lat:2.7383642517531683,lng:101.67771658930954},{lat:2.723516790945166,lng:101.68767221049562},{lat:2.7232162911110698,lng:101.68722303499423}
WMKK	32L	{lat:2.7134392418833646,lng:101.71829159127559},{lat:2.7131387580750084,lng:101.71784240878024},{lat:2.7281302981264894,lng:101.70779103256831},{lat:2.7284307856711796,lng:101.70824021814386}
WMKK	32R	{lat:2.7484832235005694,lng:101.72228861015219},{lat:2.74818277645726,lng:101.72183938990437},{lat:2.763259317482368,lng:101.71173251670398},{lat:2.763559768331261,lng:101.71218174009063}
WMKK	33	{lat:2.708669248049271,lng:101.69762758625613},{lat:2.7083687519091746,lng:101.69717841379956},{lat:2.7232162911110698,lng:101.68722303499423},{lat:2.7235167909451663,lng:101.68767221049562}
WMKP	04	{lat:5.285811392381154,lng:100.2668603394576},{lat:5.286088607580706,lng:100.26655166047331},{lat:5.297315193052163,lng:100.27672047521042},{lat:5.297037972821724,lng:100.2770291552397}
WMKP	22	{lat:5.30854161261689,lng:100.28688965942723},{lat:5.3082643873448125,lng:100.2871983405034},{lat:5.297037972821724,lng:100.2770291552397},{lat:5.297315193052163,lng:100.27672047521042}
WSSS	02C	{lat:1.3286480115304906,lng:103.98520982028667},{lat:1.3288579884444587,lng:103.9847121796922},{lat:1.3455049992739423,lng:103.99174013034808},{lat:1.34529502093601,lng:103.99223777371614}
WSSS	02L	{lat:1.3488590039472468,lng:103.97769881913635},{lat:1.349068996027322,lng:103.97720118084219},{lat:1.3626355034219062,lng:103.98292914743695},{lat:1.3624255101650744,lng:103.98342678802297}
WSSS	02R	{lat:1.322281013971693,lng:104.00009582067747},{lat:1.3224909860033762,lng:103.9995981793015},{lat:1.3391384967816313,lng:104.00662613018952},{lat:1.3389285233327568,lng:104.00712377432598}
WSSS	20C	{lat:1.3621519898769803,lng:103.99876817690105},{lat:1.361942010097341,lng:103.99926582307727},{lat:1.34529502093601,lng:103.99223777371614},{lat:1.3455049992739416,lng:103.99174013034808}
WSSS	20L	{lat:1.3557859874291247,lng:104.01365417652343},{lat:1.355576012545316,lng:104.01415182345498},{lat:1.338928523332757,lng:104.00712377432596},{lat:1.339138496781631,lng:104.00662613018949}
WSSS	20R	{lat:1.3762019972097161,lng:103.98865717853865},{lat:1.375992002764341,lng:103.98915482143944},{lat:1.362425510165074,lng:103.98342678802297},{lat:1.3626355034219066,lng:103.98292914743695}
YBBN	01L	{lat:-27.38320326833875,lng:153.10706810818587},{lat:-27.382958731137347,lng:153.1065258924135},{lat:-27.369697450686544,lng:153.11411032518842},{lat:-27.369941958581112,lng:153.11465249273851}
YBBN	19R	{lat:-27.356435760434845,lng:153.12169294062275},{lat:-27.356680239041793,lng:153.12223505997562},{lat:-27.369941958581112,lng:153.11465249273851},{lat:-27.369697450686544,lng:153.11411032518842}
YBBN	01R	{lat:-27.40289485589417,lng:153.11842071178916},{lat:-27.402711143809874,lng:153.11801328854943},{lat:-27.388645886167122,lng:153.12605883094753},{lat:-27.388829574880226,lng:153.12646621572415}
YBBN	19L	{lat:-27.374580167173107,lng:153.1341023270017},{lat:-27.374763832531265,lng:153.1345096733364},{lat:-27.388829574880223,lng:153.12646621572415},{lat:-27.388645886167122,lng:153.12605883094753}
YMML	09	{lat:-37.66095829503809,lng:144.8222281652282},{lat:-37.660553704958915,lng:144.82226583466914},{lat:-37.661306907602835,lng:144.8351866686738},{lat:-37.66171150178704,lng:144.8351490692707}
