airport	runway	bbox
ESSA	19R	{lat:59.666436489518404,lng:17.923371907955534},{lat:59.66636350929406,lng:17.924162091184424},{lat:59.65179013092386,lng:17.918887134690838},{lat:59.65186307944066,lng:17.918097283297026}
ESSA	01R	{lat:59.62636044844375,lng:17.951136598395358},{lat:59.62643355037074,lng:17.95034740074562},{lat:59.63746962331501,lng:17.95434695985457},{lat:59.637396497353656,lng:17.95513640826378}
ESSA	19L	{lat:59.64850557441373,lng:17.958349149894303},{lat:59.648432424399765,lng:17.959138849244795},{lat:59.637396497353656,lng:17.95513640826378},{lat:59.63746962331501,lng:17.95434695985457}
ESSA	08	{lat:59.658222325152465,lng:17.936231276262433},{lat:59.65861567477409,lng:17.936034722584893},{lat:59.66135645126263,lng:17.957544583642125},{lat:59.66096306949181,lng:17.957740901064028}
ESSA	26	{lat:59.66409370690587,lng:17.979057958905525},{lat:59.66370029302099,lng:17.979254039944127},{lat:59.66096306949181,lng:17.957740901064028},{lat:59.66135645126263,lng:17.957544583642125}
LFPG	08L	{lat:48.995483831184345,lng:2.5527691997061868},{lat:48.99588816881018,lng:2.5527188000892673},{lat:48.99720729614049,lng:2.577351748347356},{lat:48.996802947807026,lng:2.577401949345606}
LFPG	08R	{lat:48.99264489374,lng:2.565694481757668},{lat:48.99318310625031,lng:2.5656275178806145},{lat:48.99416657248987,lng:2.584014754089652},{lat:48.99362834935459,lng:2.584081520638068}
LFPG	09L	{lat:49.024449903649604,lng:2.524925687752881},{lat:49.02498809634056,lng:2.5248583118827805},{lat:49.02597706437377,lng:2.5432580455715903},{lat:49.02543886098679,lng:2.5433252237793966}
LFPG	09R	{lat:49.020414839063356,lng:2.5130833588059813},{lat:49.02081916093112,lng:2.5130326409880093},{lat:49.02213976586049,lng:2.5375615903414097},{lat:49.02173543326409,lng:2.537612110228706}
LFPG	26L	{lat:48.995147116859854,lng:2.6024027152234908},{lat:48.99460888313057,lng:2.6024692844168835},{lat:48.993628349354566,lng:2.584081520638067},{lat:48.99416657248987,lng:2.584014754089651}
LFPG	26R	{lat:48.99852117949695,lng:2.6019859987265317},{lat:48.99811682049764,lng:2.6020360010705055},{lat:48.996802947807026,lng:2.5774019493456057},{lat:48.99720729614049,lng:2.577351748347356}
LFPG	27L	{lat:49.023455171639036,lng:2.5620918389372496},{lat:49.023050828355466,lng:2.5621421608583197},{lat:49.02173543326409,lng:2.537612110228705},{lat:49.02213976586049,lng:2.537561590341409}
LFPG	27R	{lat:49.026963107021125,lng:2.5616585095594244},{lat:49.02642489296917,lng:2.561725490078335},{lat:49.02543886098679,lng:2.5433252237793966},{lat:49.02597706437377,lng:2.5432580455715903}
LIMC	17L	{lat:45.64198477812256,lng:8.729856821814245},{lat:45.64208722062306,lng:8.73061517887908},{lat:45.628944266108725,lng:8.734246444558654},{lat:45.62884184763156,lng:8.733488258696044}
LIMC	17R	{lat:45.64540174884524,lng:8.718345806780476},{lat:45.64550424990029,lng:8.719104193913351},{lat:45.62998081600678,lng:8.723395781100011},{lat:45.62987834334405,lng:8.722637596188518}
LIMC	35L	{lat:45.61445722152009,lng:8.727684991769646},{lat:45.61435477722674,lng:8.72692700892268},{lat:45.62987834334405,lng:8.722637596188518},{lat:45.62998081600678,lng:8.723395781100011}
LIMC	35R	{lat:45.6158011966085,lng:8.737876007732437},{lat:45.61569880213825,lng:8.737117992959611},{lat:45.62884184763156,lng:8.733488258696044},{lat:45.628944266108725,lng:8.734246444558654}
LIRF	07	{lat:41.80042678493938,lng:12.236913510145895},{lat:41.80080721498316,lng:12.236724489293024},{lat:41.8053138844133,lng:12.253051382912846},{lat:41.80493342761156,lng:12.253240320117678}
LIRF	25	{lat:41.80981824173738,lng:12.26938057296438},{lat:41.809437758185275,lng:12.269569426474776},{lat:41.80493342761156,lng:12.253240320117678},{lat:41.8053138844133,lng:12.253051382912846}
LIRF	16L	{lat:41.845888594740025,lng:12.261147997689378},{lat:41.84604940422159,lng:12.261840003180298},{lat:41.82928709660151,lng:12.26885725837509},{lat:41.82912632923394,lng:12.268165416483527}
LIRF	34R	{lat:41.812524362125515,lng:12.275870839640321},{lat:41.8123636368372,lng:12.275179161227465},{lat:41.82912632923394,lng:12.268165416483527},{lat:41.82928709660151,lng:12.26885725837509}
LIRF	16R	{lat:41.815436513753085,lng:12.226018196166205},{lat:41.815597485209814,lng:12.226709804702912},{lat:41.79883617781042,lng:12.233731059029383},{lat:41.79867524846252,lng:12.233039613774748}
LIRF	34L	{lat:41.782074443118894,lng:12.240748641480074},{lat:41.781913555845115,lng:12.240057359387166},{lat:41.79867524846252,lng:12.233039613774748},{lat:41.79883617781042,lng:12.233731059029383}
LOWW	11	{lat:48.122631665677524,lng:16.533224852686423},{lat:48.1229963341687,lng:16.533491148258822},{lat:48.11611474754905,lng:16.55463053715921},{lat:48.11575012790243,lng:16.554364127220506}
LOWW	29	{lat:48.10922928531942,lng:16.575764262563514},{lat:48.1088647145265,lng:16.575497738381838},{lat:48.11575012790243,lng:16.554364127220506},{lat:48.11611474754905,lng:16.55463053715921}
LOWW	16	{lat:48.11972786372386,lng:16.577874588986912},{lat:48.11983813553439,lng:16.57845941164075},{lat:48.10426230697579,lng:16.585047325839003},{lat:48.10415206858452,lng:16.584462666290058}
LOWW	34	{lat:48.08868610212928,lng:16.591631248595878},{lat:48.08857589712969,lng:16.591046752030365},{lat:48.10415206858452,lng:16.584462666290058},{lat:48.10426230697579,lng:16.585047325839003}
LROP	08L	{lat:44.57642029625233,lng:26.084130149031182},{lat:44.576823703739734,lng:26.084069850759658},{lat:44.578477288968436,lng:26.105901305542606},{lat:44.57807387000882,lng:26.105961454065103}
LROP	26R	{lat:44.58012671519804,lng:26.12773400052424},{lat:44.57972328479411,lng:26.127793999267606},{lat:44.57807387000882,lng:26.105961454065103},{lat:44.578477288968436,lng:26.105901305542606}
